"sep=;";;
Body Part;Exam Description;Full Protocol
ABDOMEN;XR Abdomen AP<br>XR Abdomen AP + Decub + Erect 3 Views<br>XR Abdomen AP + Decub or Erect 2 Views;<a href="https://drive.google.com/file/d/1kRorm6HUDJesOmLqJ2fUbOHBfvJmnbbN/view?usp=drive_link" target="_blank">ABDOMEN</a>
ACROMIOCLAVICULAR JOINTS;XR AC Jnts Wo or W Weights;<a href="https://drive.google.com/file/d/1iHiF1h2OiminHH85EX7sLUI9Guiu0epo/view?usp=drive_link" target="_blank">AC JOINTS</a>
ANKLE;XR Ankle 3+ Views Bil<br>XR Ankle 3+ Views Lt<br>XR Ankle 3+ Views Rt;<a href="https://drive.google.com/file/d/1b0Hq1BHfd4EEv_zwdkQqrt-wBvikQjzo/view?usp=drive_link" target="_blank">ANKLE</a>
BONE;XR Bone Age Study;<a href="https://drive.google.com/file/d/1el9TTXkvpEapGO_Nt-VJRDRkp2ggdYSY/view?usp=drive_link" target="_blank">BONE AGE</a>
CALCANEUS;XR Calcaneus 2+ Views Bil<br>XR Calcaneus 2+ Views Lt<br>XR Calcaneus 2+ Views Rt;<a href="https://drive.google.com/file/d/1FEY5Rj-GFwCZ2RXMJP38D8zLWXjlwHpU/view?usp=drive_link" target="_blank">CALCANEUS</a>
CHEST;XR Chest 1 View AP or PA<br>XR Chest 2 Views;<a href="https://drive.google.com/file/d/1DuJgflp-RdwsaSdRBsdg4aTjMLXCulyz/view?usp=drive_link" target="_blank">CHEST</a>
CLAVICLE;XR Clavicle Complete Bil<br>XR Clavicle Complete Lt<br>XR Clavicle Complete Rt;<a href="https://drive.google.com/file/d/1Y7FE5KShuM7dns706Ds5sgpHY0e9eiEU/view?usp=drive_link" target="_blank">CLAVICLE</a>
ELBOW;XR Elbow 2 Views Bil<br>XR Elbow 2 Views Lt<br>XR Elbow 2 Views Rt<br>XR Elbow 3+ Views Bil<br>XR Elbow 3+ Views Lt<br>XR Elbow 3+ Views Rt;<a href="https://drive.google.com/file/d/1NXF5xXCnxvF4YNa4yndWFxOlpdsPlaC_/view?usp=drive_link" target="_blank">ELBOW</a>
EYES, ORBITS;XR Eye Foreign Body Bil<br>XR Eye Foreign Body Lt<br>XR Eye Foreign Body Rt<br>XR Orbits 4+ Views;<a href="https://drive.google.com/file/d/1Jjf0LLBd13nNAhliw6edpgBng1x9-rnS/view?usp=drive_link" target="_blank">EYES, ORBITS</a>
FACIAL BONES;XR Facial Bones 3+ Views;<a href="https://drive.google.com/file/d/1nskfP2ni4kFuZaBuoy9WgxF24kt2nryx/view?usp=drive_link" target="_blank">FACIAL BONES</a>
